lhs,rhs,support,confidence,lift,antecedents_str,consequents_str
frozenset({'Apple'}),frozenset({'Bacon'}),0.1875,0.46276595744680854,1.0736170212765959,Apple,Bacon
frozenset({'Apple'}),frozenset({'Banana'}),0.21982758620689655,0.5425531914893618,1.2103109656301148,Apple,Banana
frozenset({'Apple'}),frozenset({'Bread'}),0.17456896551724138,0.4308510638297873,1.0577507598784195,Apple,Bread
frozenset({'Apple'}),frozenset({'Carrot'}),0.1896551724137931,0.46808510638297873,1.1312056737588654,Apple,Carrot
frozenset({'Apple'}),frozenset({'Egg'}),0.1961206896551724,0.48404255319148937,1.2010467629992037,Apple,Egg
frozenset({'Apple'}),frozenset({'Hazelnut'}),0.17025862068965517,0.42021276595744683,0.9998908892525914,Apple,Hazelnut
frozenset({'Apple'}),frozenset({'HeavyCream'}),0.19827586206896552,0.4893617021276596,1.1764965273949952,Apple,HeavyCream
frozenset({'Apple'}),frozenset({'Sugar'}),0.16163793103448276,0.398936170212766,1.088861076345432,Apple,Sugar
frozenset({'Bacon'}),frozenset({'Banana'}),0.2413793103448276,0.56,1.2492307692307694,Bacon,Banana
frozenset({'Bacon'}),frozenset({'Bread'}),0.2025862068965517,0.47000000000000003,1.153862433862434,Bacon,Bread
frozenset({'Bacon'}),frozenset({'Carrot'}),0.19827586206896552,0.46,1.1116666666666668,Bacon,Carrot
frozenset({'Bacon'}),frozenset({'Egg'}),0.2025862068965517,0.47000000000000003,1.1662032085561498,Bacon,Egg
frozenset({'Bacon'}),frozenset({'Hazelnut'}),0.22198275862068967,0.515,1.2254358974358974,Bacon,Hazelnut
frozenset({'Bacon'}),frozenset({'HeavyCream'}),0.20043103448275862,0.465,1.1179274611398964,Bacon,HeavyCream
frozenset({'Bacon'}),frozenset({'Sugar'}),0.1875,0.43500000000000005,1.187294117647059,Bacon,Sugar
frozenset({'Banana'}),frozenset({'Bread'}),0.21120689655172414,0.47115384615384615,1.1566951566951567,Banana,Bread
frozenset({'Banana'}),frozenset({'Carrot'}),0.21982758620689655,0.49038461538461536,1.1850961538461537,Banana,Carrot
frozenset({'Banana'}),frozenset({'Egg'}),0.21336206896551724,0.47596153846153844,1.1809954751131222,Banana,Egg
frozenset({'Banana'}),frozenset({'Hazelnut'}),0.22198275862068967,0.4951923076923077,1.1783037475345168,Banana,Hazelnut
frozenset({'Banana'}),frozenset({'HeavyCream'}),0.1961206896551724,0.43749999999999994,1.0518134715025906,Banana,HeavyCream
frozenset({'Banana'}),frozenset({'Sugar'}),0.17672413793103448,0.3942307692307692,1.0760180995475113,Banana,Sugar
frozenset({'Bread'}),frozenset({'Carrot'}),0.1939655172413793,0.47619047619047616,1.1507936507936507,Bread,Carrot
frozenset({'Bread'}),frozenset({'Egg'}),0.1853448275862069,0.455026455026455,1.129049599637835,Bread,Egg
frozenset({'Bread'}),frozenset({'Hazelnut'}),0.1875,0.4603174603174603,1.0953194953194951,Bread,Hazelnut
frozenset({'Bread'}),frozenset({'HeavyCream'}),0.1875,0.4603174603174603,1.106669956410889,Bread,HeavyCream
frozenset({'Bread'}),frozenset({'Sugar'}),0.17456896551724138,0.42857142857142855,1.169747899159664,Bread,Sugar
frozenset({'Carrot'}),frozenset({'Egg'}),0.2025862068965517,0.4895833333333333,1.214795008912656,Carrot,Egg
frozenset({'Carrot'}),frozenset({'Hazelnut'}),0.18318965517241378,0.4427083333333333,1.0534188034188032,Carrot,Hazelnut
frozenset({'Carrot'}),frozenset({'HeavyCream'}),0.19827586206896552,0.4791666666666667,1.1519861830742661,Carrot,HeavyCream
frozenset({'Carrot'}),frozenset({'Sugar'}),0.15732758620689655,0.3802083333333333,1.0377450980392158,Carrot,Sugar
frozenset({'Egg'}),frozenset({'Hazelnut'}),0.1961206896551724,0.48663101604278075,1.1579322638146168,Egg,Hazelnut
frozenset({'Egg'}),frozenset({'HeavyCream'}),0.16810344827586207,0.41711229946524064,1.0027984816159154,Egg,HeavyCream
frozenset({'Egg'}),frozenset({'Sugar'}),0.17025862068965517,0.42245989304812837,1.1530670022019505,Egg,Sugar
frozenset({'Hazelnut'}),frozenset({'HeavyCream'}),0.20905172413793102,0.4974358974358974,1.1959080643018467,Hazelnut,HeavyCream
frozenset({'Hazelnut'}),frozenset({'Sugar'}),0.1810344827586207,0.43076923076923074,1.1757466063348416,Hazelnut,Sugar
frozenset({'HeavyCream'}),frozenset({'Sugar'}),0.1810344827586207,0.43523316062176165,1.1879305089911614,HeavyCream,Sugar
frozenset({'Apple'}),frozenset({'Butter'}),0.17672413793103448,0.43617021276595747,1.1631205673758866,Apple,Butter
frozenset({'Apple'}),frozenset({'Cucumber'}),0.15732758620689655,0.38829787234042556,1.0179108065873301,Apple,Cucumber
frozenset({'Apple'}),frozenset({'Flour'}),0.16810344827586207,0.41489361702127664,1.075478426245097,Apple,Flour
frozenset({'Apple'}),frozenset({'Honey'}),0.1875,0.46276595744680854,1.1125564987322236,Apple,Honey
frozenset({'Apple'}),frozenset({'Milk'}),0.16163793103448276,0.398936170212766,1.0761999010390897,Apple,Milk
frozenset({'Apple'}),frozenset({'Olive'}),0.1875,0.46276595744680854,1.2131265777136675,Apple,Olive
frozenset({'Apple'}),frozenset({'Shampoo'}),0.1724137931034483,0.4255319148936171,1.1614518147684607,Apple,Shampoo
frozenset({'Bacon'}),frozenset({'Butter'}),0.20689655172413793,0.48000000000000004,1.28,Bacon,Butter
frozenset({'Bacon'}),frozenset({'Cucumber'}),0.18318965517241378,0.425,1.1141242937853106,Bacon,Cucumber
frozenset({'Bacon'}),frozenset({'Flour'}),0.16594827586206898,0.38500000000000006,0.9979888268156426,Bacon,Flour
frozenset({'Bacon'}),frozenset({'Honey'}),0.2025862068965517,0.47000000000000003,1.1299481865284975,Bacon,Honey
frozenset({'Bacon'}),frozenset({'Milk'}),0.1875,0.43500000000000005,1.1734883720930234,Bacon,Milk
frozenset({'Bacon'}),frozenset({'Olive'}),0.1788793103448276,0.41500000000000004,1.087909604519774,Bacon,Olive
frozenset({'Bacon'}),frozenset({'Shampoo'}),0.16594827586206898,0.38500000000000006,1.050823529411765,Bacon,Shampoo
frozenset({'Banana'}),frozenset({'Butter'}),0.1788793103448276,0.39903846153846156,1.064102564102564,Banana,Butter
frozenset({'Banana'}),frozenset({'Cucumber'}),0.1961206896551724,0.43749999999999994,1.1468926553672314,Banana,Cucumber
frozenset({'Banana'}),frozenset({'Flour'}),0.1853448275862069,0.4134615384615385,1.0717662226042115,Banana,Flour
frozenset({'Banana'}),frozenset({'Honey'}),0.21336206896551724,0.47596153846153844,1.1442805898764448,Banana,Honey
frozenset({'Banana'}),frozenset({'Milk'}),0.1810344827586207,0.40384615384615385,1.0894454382826475,Banana,Milk
frozenset({'Banana'}),frozenset({'Olive'}),0.20474137931034483,0.4567307692307692,1.1973055193394175,Banana,Olive
frozenset({'Banana'}),frozenset({'Shampoo'}),0.1788793103448276,0.39903846153846156,1.0891402714932128,Banana,Shampoo
frozenset({'Bread'}),frozenset({'Butter'}),0.1961206896551724,0.48148148148148145,1.2839506172839505,Bread,Butter
frozenset({'Bread'}),frozenset({'Cucumber'}),0.16379310344827586,0.4021164021164021,1.0541356530057093,Bread,Cucumber
frozenset({'Bread'}),frozenset({'Flour'}),0.1724137931034483,0.4232804232804233,1.0972185273861252,Bread,Flour
frozenset({'Bread'}),frozenset({'Honey'}),0.20043103448275862,0.49206349206349204,1.1829920223702608,Bread,Honey
frozenset({'Bread'}),frozenset({'Milk'}),0.17672413793103448,0.43386243386243384,1.1704195890242401,Bread,Milk
frozenset({'Bread'}),frozenset({'Olive'}),0.17025862068965517,0.41798941798941797,1.0957462708875136,Bread,Olive
frozenset({'Bread'}),frozenset({'Shampoo'}),0.1724137931034483,0.4232804232804233,1.155306567071273,Bread,Shampoo
frozenset({'Butter'}),frozenset({'Cucumber'}),0.15732758620689655,0.41954022988505746,1.0998116760828625,Butter,Cucumber
frozenset({'Butter'}),frozenset({'Flour'}),0.16594827586206898,0.4425287356321839,1.1471135940409685,Butter,Flour
frozenset({'Butter'}),frozenset({'Hazelnut'}),0.19827586206896552,0.5287356321839081,1.258119658119658,Butter,Hazelnut
frozenset({'Butter'}),frozenset({'Honey'}),0.1853448275862069,0.4942528735632184,1.1882556131260795,Butter,Honey
frozenset({'Butter'}),frozenset({'Milk'}),0.14655172413793102,0.3908045977011494,1.0542635658914727,Butter,Milk
frozenset({'Butter'}),frozenset({'Olive'}),0.15948275862068967,0.4252873563218391,1.1148775894538607,Butter,Olive
frozenset({'Butter'}),frozenset({'Shampoo'}),0.16810344827586207,0.4482758620689655,1.223529411764706,Butter,Shampoo
frozenset({'Cucumber'}),frozenset({'Flour'}),0.16810344827586207,0.4406779661016949,1.142316068554114,Cucumber,Flour
frozenset({'Cucumber'}),frozenset({'Hazelnut'}),0.1896551724137931,0.49717514124293777,1.183021874547298,Cucumber,Hazelnut
frozenset({'Cucumber'}),frozenset({'Honey'}),0.16594827586206898,0.4350282485875706,1.0458710225110506,Cucumber,Honey
frozenset({'Cucumber'}),frozenset({'Milk'}),0.15517241379310345,0.4067796610169491,1.0973590855340953,Cucumber,Milk
frozenset({'Cucumber'}),frozenset({'Olive'}),0.1724137931034483,0.4519774011299435,1.1848447125666315,Cucumber,Olive
frozenset({'Cucumber'}),frozenset({'Shampoo'}),0.15301724137931033,0.40112994350282477,1.094848786972416,Cucumber,Shampoo
frozenset({'Flour'}),frozenset({'Hazelnut'}),0.20043103448275862,0.5195530726256983,1.2362698753760204,Flour,Hazelnut
frozenset({'Flour'}),frozenset({'Honey'}),0.16810344827586207,0.43575418994413406,1.047616290850146,Flour,Honey
frozenset({'Flour'}),frozenset({'Milk'}),0.16379310344827586,0.4245810055865922,1.145381317396388,Flour,Milk
frozenset({'Flour'}),frozenset({'Olive'}),0.15086206896551724,0.39106145251396646,1.0251554461383074,Flour,Olive
frozenset({'Flour'}),frozenset({'Shampoo'}),0.14870689655172414,0.3854748603351955,1.0521196187972395,Flour,Shampoo
frozenset({'Hazelnut'}),frozenset({'Honey'}),0.19181034482758622,0.4564102564102564,1.0972764713697356,Hazelnut,Honey
frozenset({'Hazelnut'}),frozenset({'Milk'}),0.1810344827586207,0.43076923076923074,1.1620751341681572,Hazelnut,Milk
frozenset({'Hazelnut'}),frozenset({'Olive'}),0.1788793103448276,0.4256410256410256,1.1158047225843835,Hazelnut,Olive
frozenset({'Hazelnut'}),frozenset({'Shampoo'}),0.17456896551724138,0.41538461538461535,1.1337556561085973,Hazelnut,Shampoo
frozenset({'Honey'}),frozenset({'Milk'}),0.17456896551724138,0.4196891191709845,1.1321846005542837,Honey,Milk
frozenset({'Honey'}),frozenset({'Olive'}),0.15948275862068967,0.383419689119171,1.005122800854776,Honey,Olive
frozenset({'Honey'}),frozenset({'Shampoo'}),0.1875,0.45077720207253885,1.2303565985979885,Honey,Shampoo
frozenset({'Milk'}),frozenset({'Olive'}),0.16379310344827586,0.441860465116279,1.1583234791748782,Milk,Olive
frozenset({'Milk'}),frozenset({'Shampoo'}),0.14655172413793102,0.39534883720930225,1.0790697674418603,Milk,Shampoo
frozenset({'Olive'}),frozenset({'Shampoo'}),0.15517241379310345,0.4067796610169491,1.1102691924227317,Olive,Shampoo
frozenset({'Apple'}),frozenset({'Cheese'}),0.18318965517241378,0.4521276595744681,1.01838463127453,Apple,Cheese
frozenset({'Apple'}),frozenset({'Meat'}),0.19181034482758622,0.473404255319149,1.2203309692671396,Apple,Meat
frozenset({'Apple'}),frozenset({'Onion'}),0.18318965517241378,0.4521276595744681,1.191972920696325,Apple,Onion
frozenset({'Apple'}),frozenset({'Salt'}),0.1810344827586207,0.4468085106382979,1.1206440483036229,Apple,Salt
frozenset({'Apple'}),frozenset({'ShavingFoam'}),0.18318965517241378,0.4521276595744681,1.1158895427795383,Apple,ShavingFoam
frozenset({'Apple'}),frozenset({'Toothpaste'}),0.1810344827586207,0.4468085106382979,1.1647143198661247,Apple,Toothpaste
frozenset({'Bacon'}),frozenset({'Cheese'}),0.22413793103448276,0.52,1.17126213592233,Bacon,Cheese
frozenset({'Bacon'}),frozenset({'Meat'}),0.21551724137931033,0.5,1.288888888888889,Bacon,Meat
